Khóa,Mã HP,Tên HP,Số TC,Ngành,Kiểu môn
24,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TE,0
24,SE422,Quản lý dự án phần mềm,3,TE,0
24,CS110,Kỹ thuật số 1,2,TE,0
24,CS212,Kiến trúc máy tính,3,TE,0
24,NW212,Mạng máy tính,2,TE,0
24,NW312,Thiết kế và quản trị mạng,3,TE,0
24,IP403,Thực tập ngành hệ thống thông tin quản lý,2,TE,1
24,SE487,CĐTN: Phát triển phần mềm,6,TE,1
24,IS487,CĐTN: Hệ thống thông tin quản lý,6,TE,1
24,IS488,CĐTN: Hệ thống thông tin doanh nghiệp,6,TE,1
24,IS489,CĐTN: Hệ thống thông tin ngân hàng,6,TE,1
24,IS484,CĐTN: Cơ sở dữ liệu,6,TE,1
24,NW439,CĐTN: An toàn mạng,6,TE,1
25,MA102,Toán cơ sở,3,TI,1
25,CS100,Tin đại cương,2,TI,1
25,MA110,Giải tích 1,3,TI,1
25,MA111,Giải tích 2,3,TI,1
25,MA120,Đại số tuyến tính,3,TI,1
25,MA231,Xác suất thống kê ứng dụng,4,TI,1
25,MI201,Toán rời rạc,3,TI,1
25,CF212,Cấu trúc dữ liệu,3,TI,1
25,CS110,Kỹ thuật số,2,TI,1
25,CS121,Ngôn ngữ lập trình,3,TI,1
25,CS122,Lập trình hướng đối tượng,3,TI,1
25,CS212,Kiến trúc máy tính,3,TI,1
25,CS315,Nguyên lý hệ điều hành,3,TI,1
25,IS222,Cơ sở dữ liệu,3,TI,1
25,NW212,Mạng máy tính,2,TI,1
25,CF301,Ngôn ngữ hình thức và Otomat,3,TI,1
25,CF231,Lý thuyết thông tin và mã hóa,2,TI,1
25,IS322,Hệ quản trị cơ sở dữ liệu,3,TI,1
25,IS332,Phân tích thiết kế hướng đối tượng,3,TI,1
25,IS381,Hệ thống thông tin quản lý,3,TI,1
25,MI312,Đồ họa,2,TI,1
25,MI321,Trí tuệ nhân tạo,3,TI,1
25,NW312,Thiết kế và quản trị mạng,3,TI,1
25,NW332,An toàn mạng,3,TI,1
25,SE302,Công nghệ phần mềm,2,TI,1
25,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,2,TI,1
25,CF201,Lý thuyết thuật toán,3,TI,0
25,CF211,Phân tích và thiết kế thuật toán,2,TI,0
25,CS223,Lập trình Java,3,TI,0
25,CS311,Lập trình ứng dụng di động,3,TI,0
25,CS312,Lập trình hệ thống,3,TI,0
25,CS316,Hệ điều hành Unix,3,TI,0
25,CS322,Chương trình dịch,2,TI,0
25,CS325,Lập trình Web,3,TI,0
25,CS223,Lập trình Java,3,TI,0
25,CS224,Lập trình .Net,3,TI,0
25,IS206,Kỹ năng soạn thảo văn bản,3,TI,0
25,IS207,Kỹ năng tạo báo cáo,3,TI,0
25,IS424,Lập trình cơ sở dữ liệu,3,TI,0
25,MI414,Giao diện người máy,2,TI,0
25,NW322,Lập trình mạng,3,TI,0
25,SE422,Quản lý dự án phần mềm,3,TI,0
25,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
25,CS499,KLTN ngành Khoa học máy tính,6,TI,1
25,IS484,CĐTN: Cơ sở dữ liệu,6,TI,1
25,IS487,CĐTN: Hệ thống thông tin quản lý,6,TI,1
25,NW439,CĐTN: An toàn mạng,6,TI,1
25,SE487,CĐTN: Phát triển phần mềm,6,TI,1
25,MA102,Toán cơ sở,3,TC,1
25,CS100,Tin đại cương,2,TC,1
25,MA110,Giải tích 1,3,TC,1
25,MA111,Giải tích 2,3,TC,1
25,MA120,Đại số tuyến tính,3,TC,1
25,MA231,Xác suất thống kê ứng dụng,4,TC,1
25,MI201,Toán rời rạc,3,TC,1
25,NW212,Mạng máy tính,2,TC,1
25,CF231,Lý thuyết thông tin và mã hóa,2,TC,1
25,CF321,Xử lý tín hiệu số,2,TC,1
25,CS211,Vi điều khiển và ứng dụng,3,TC,1
25,ET220,Lý thuyết mạch,3,TC,1
25,NW312,Thiết kế và quản trị mạng,3,TC,1
25,NW332,An toàn mạng,3,TC,1
25,TC311,Kỹ thuật truyền tin,3,TC,1
